Type Gun
Useable Gun
Slot Primary
ID 6005

Size_X 5
Size_Y 2
Size_Z 0.45

Sight 110
Magazine 6008

Hook_Sight
Hook_Barrel

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Caliber 106

Range 325
Firerate 25
Action Trigger

Player_Damage 67
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 67
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Barricade_Damage 25
Structure_Damage 15
Vehicle_Damage 15
Resource_Damage 10

Durability 0.2

Spread_Aim 0.01
Spread_Hip 0.25

Recoil_Min_X 3
Recoil_Min_Y 15
Recoil_Max_X 4
Recoil_Max_Y 20

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 63
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Build 27
